,Date,Home,Away
607,2013-04-07 00:00:00,1,-1
608,2013-04-06 00:00:00,-1,1
609,2013-04-06 00:00:00,0,0
610,2013-04-06 00:00:00,-1,1
611,2013-04-13 00:00:00,0,0
612,2013-04-13 00:00:00,1,-1
613,2013-04-13 00:00:00,-1,1
614,2013-04-14 00:00:00,0,0
615,2013-04-13 00:00:00,1,-1
616,2013-04-14 00:00:00,1,-1
617,2013-04-14 00:00:00,1,-1
618,2013-04-13 00:00:00,-1,1
619,2013-04-12 00:00:00,0,0
620,2013-04-21 00:00:00,-1,1
621,2013-04-20 00:00:00,1,-1
622,2013-04-19 00:00:00,-1,1
623,2013-04-21 00:00:00,1,-1
624,2013-04-21 00:00:00,-1,1
625,2013-04-24 00:00:00,-1,1
626,2013-04-24 00:00:00,1,-1
627,2013-04-21 00:00:00,0,0
628,2013-04-21 00:00:00,-1,1
629,2013-04-27 00:00:00,1,-1
630,2013-04-27 00:00:00,0,0
631,2013-04-27 00:00:00,0,0
632,2013-04-27 00:00:00,-1,1
633,2013-04-28 00:00:00,-1,1
634,2013-04-26 00:00:00,0,0
635,2013-04-27 00:00:00,-1,1
636,2013-04-28 00:00:00,0,0
637,2013-04-28 00:00:00,1,-1
638,2013-04-27 00:00:00,0,0
639,2013-05-04 00:00:00,1,-1
640,2013-05-04 00:00:00,1,-1
641,2013-05-05 00:00:00,0,0
642,2013-05-04 00:00:00,0,0
643,2013-05-05 00:00:00,-1,1
644,2013-05-03 00:00:00,0,0
645,2013-05-04 00:00:00,1,-1
646,2013-05-04 00:00:00,1,-1
647,2013-05-11 00:00:00,-1,1
648,2013-05-11 00:00:00,1,-1
649,2013-05-11 00:00:00,-1,1
650,2013-05-12 00:00:00,1,-1
651,2013-05-12 00:00:00,-1,1
652,2013-05-11 00:00:00,1,-1
653,2013-05-11 00:00:00,1,-1
654,2013-05-18 00:00:00,-1,1
655,2013-05-19 00:00:00,0,0
656,2013-05-18 00:00:00,1,-1
657,2013-05-18 00:00:00,1,-1
658,2013-05-18 00:00:00,0,0
659,2013-05-18 00:00:00,1,-1
660,2013-05-18 00:00:00,-1,1
661,2013-05-18 00:00:00,1,-1
662,2013-05-26 00:00:00,-1,1
663,2013-05-26 00:00:00,-1,1
664,2013-05-26 00:00:00,-1,1
665,2013-05-26 00:00:00,1,-1
666,2013-05-26 00:00:00,0,0
667,2013-05-26 00:00:00,1,-1
668,2013-05-26 00:00:00,1,-1
669,2012-09-01 00:00:00,1,-1
670,2012-09-01 00:00:00,-1,1
671,2012-09-02 00:00:00,0,0
672,2012-09-01 00:00:00,1,-1
673,2012-09-01 00:00:00,1,-1
674,2012-09-01 00:00:00,1,-1
675,2012-09-02 00:00:00,1,-1
676,2012-09-01 00:00:00,-1,1
677,2012-09-01 00:00:00,0,0
678,2012-09-02 00:00:00,-1,1
679,2012-09-15 00:00:00,1,-1
680,2012-09-16 00:00:00,1,-1
681,2012-09-16 00:00:00,-1,1
682,2012-09-15 00:00:00,1,-1
683,2012-09-14 00:00:00,1,-1
684,2012-09-14 00:00:00,1,-1
685,2012-09-16 00:00:00,-1,1
686,2012-09-15 00:00:00,-1,1
687,2012-09-15 00:00:00,0,0
688,2012-09-15 00:00:00,0,0
689,2012-09-22 00:00:00,-1,1
690,2012-09-23 00:00:00,0,0
691,2012-09-22 00:00:00,1,-1
692,2012-09-22 00:00:00,0,0
693,2012-09-23 00:00:00,1,-1
694,2012-09-21 00:00:00,0,0
695,2012-09-22 00:00:00,1,-1
696,2012-09-22 00:00:00,1,-1
697,2012-09-22 00:00:00,0,0
698,2012-09-23 00:00:00,0,0
699,2012-09-29 00:00:00,1,-1
700,2012-09-29 00:00:00,0,0
701,2012-09-30 00:00:00,-1,1
702,2012-09-29 00:00:00,-1,1
703,2012-09-29 00:00:00,0,0
704,2012-09-29 00:00:00,1,-1
705,2012-09-28 00:00:00,1,-1
